Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",912,296,867,292,13,24,21,34,11,23,0,13,0,13,0,13,0,13,0,13
1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",2498,342,2444,342,54,59,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",2036,438,1126,341,781,229,0,13,0,13,0,13,129,200,0,13,0,13,0,13
1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",1593,389,837,304,687,282,0,13,0,13,0,13,4,7,65,91,60,90,5,9
1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",1036,284,391,180,587,236,0,13,58,80,0,13,0,13,0,13,0,13,0,13
1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",708,284,373,213,249,222,0,13,45,67,0,13,0,13,41,62,0,13,41,62
1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",1585,407,1359,355,121,165,0,13,0,13,0,13,0,13,105,137,0,13,105,137
1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",1085,299,858,274,152,85,0,13,40,64,0,13,0,13,35,49,0,13,35,49
1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",1493,365,1022,318,237,126,0,13,0,13,0,13,234,292,0,13,0,13,0,13
1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",755,199,307,118,448,157,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",698,159,698,159,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",695,176,683,178,0,13,0,13,0,13,12,19,0,13,0,13,0,13,0,13
1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",1678,330,1511,319,150,73,0,13,0,13,0,13,0,13,17,19,0,13,17,19
1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",1645,463,1645,463,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1031,215,850,189,71,71,0,13,0,13,0,13,93,98,17,15,12,14,5,7
1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1054,235,404,142,349,134,0,13,0,13,0,13,218,149,83,90,0,13,83,90
1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",2046,390,1515,350,55,53,0,13,0,13,0,13,476,268,0,13,0,13,0,13
