Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",912,296,912,296,0,13
1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",2498,342,2498,342,0,13
1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",2036,438,1722,366,314,319
1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",1593,389,1371,356,222,198
1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",1036,284,1036,284,0,13
1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",708,284,708,284,0,13
1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",1585,407,1338,364,247,218
1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",1085,299,1034,287,51,72
1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",1493,365,1204,282,289,293
1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",755,199,741,198,14,18
1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",698,159,685,157,13,19
1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",695,176,695,176,0,13
1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",1678,330,1634,331,44,63
1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",1645,463,1116,265,529,383
1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1031,215,827,193,204,114
1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1054,235,717,166,337,169
1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",2046,390,1387,251,659,269
1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1072,278,740,250,332,153
1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1784,337,1448,280,336,162
1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1307,205,1165,189,142,91
1500000US130059701001,130059701001,"Block Group 1, Census Tract 9701, Bacon County, Georgia",1527,291,1257,283,270,229
1500000US130059701002,130059701002,"Block Group 2, Census Tract 9701, Bacon County, Georgia",820,194,795,188,25,42
1500000US130059701003,130059701003,"Block Group 3, Census Tract 9701, Bacon County, Georgia",741,212,741,212,0,13
