Id,Id2,Geography,Estimate; Median year structure built,Margin of Error; Median year structure built
1500000US130019501001,1.3002E+11,"Block Group 1, Census Tract 9501, Appling County, Georgia",1980,11
1500000US130019501002,1.3002E+11,"Block Group 2, Census Tract 9501, Appling County, Georgia",1991,4
1500000US130019502001,1.3002E+11,"Block Group 1, Census Tract 9502, Appling County, Georgia",1989,7
1500000US130019502002,1.3002E+11,"Block Group 2, Census Tract 9502, Appling County, Georgia",1975,5
1500000US130019502003,1.3002E+11,"Block Group 3, Census Tract 9502, Appling County, Georgia",1980,7
1500000US130019503001,1.3002E+11,"Block Group 1, Census Tract 9503, Appling County, Georgia",1975,6
1500000US130019503002,1.3002E+11,"Block Group 2, Census Tract 9503, Appling County, Georgia",1983,6
1500000US130019503003,1.3002E+11,"Block Group 3, Census Tract 9503, Appling County, Georgia",1971,10
1500000US130019503004,1.3002E+11,"Block Group 4, Census Tract 9503, Appling County, Georgia",1982,4
1500000US130019504001,1.3002E+11,"Block Group 1, Census Tract 9504, Appling County, Georgia",1981,11
1500000US130019504002,1.3002E+11,"Block Group 2, Census Tract 9504, Appling County, Georgia",1988,5
1500000US130019505001,1.3002E+11,"Block Group 1, Census Tract 9505, Appling County, Georgia",1988,13
1500000US130019505002,1.3002E+11,"Block Group 2, Census Tract 9505, Appling County, Georgia",1990,4
1500000US130019505003,1.3002E+11,"Block Group 3, Census Tract 9505, Appling County, Georgia",1994,3
1500000US130039601001,1.3004E+11,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1981,8
1500000US130039601002,1.3004E+11,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1979,6
1500000US130039602001,1.3004E+11,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",1978,8
1500000US130039602002,1.3004E+11,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1979,14
1500000US130039602003,1.3004E+11,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1977,5
1500000US130039603001,1.3004E+11,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1982,5
1500000US130059701001,1.3006E+11,"Block Group 1, Census Tract 9701, Bacon County, Georgia",1985,6
1500000US130059701002,1.3006E+11,"Block Group 2, Census Tract 9701, Bacon County, Georgia",1989,16
1500000US130059701003,1.3006E+11,"Block Group 3, Census Tract 9701, Bacon County, Georgia",1986,7
1500000US130059702011,1.3006E+11,"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",1979,16
1500000US130059702012,1.3006E+11,"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",1976,4
1500000US130059702013,1.3006E+11,"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",1964,5
1500000US130059702021,1.3006E+11,"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",1986,5
1500000US130059702022,1.3006E+11,"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",1982,8
1500000US130059702023,1.3006E+11,"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",1961,6
1500000US130079601001,1.3008E+11,"Block Group 1, Census Tract 9601, Baker County, Georgia",1982,13
1500000US130079601002,1.3008E+11,"Block Group 2, Census Tract 9601, Baker County, Georgia",1988,5
1500000US130079602001,1.3008E+11,"Block Group 1, Census Tract 9602, Baker County, Georgia",1970,9
1500000US130079602002,1.3008E+11,"Block Group 2, Census Tract 9602, Baker County, Georgia",1982,12
1500000US130099701001,1.301E+11,"Block Group 1, Census Tract 9701, Baldwin County, Georgia",1992,4
1500000US130099701002,1.301E+11,"Block Group 2, Census Tract 9701, Baldwin County, Georgia",1981,10
1500000US130099701003,1.301E+11,"Block Group 3, Census Tract 9701, Baldwin County, Georgia",1998,3
1500000US130099702001,1.301E+11,"Block Group 1, Census Tract 9702, Baldwin County, Georgia",1985,3
1500000US130099702002,1.301E+11,"Block Group 2, Census Tract 9702, Baldwin County, Georgia",1994,3
1500000US130099702003,1.301E+11,"Block Group 3, Census Tract 9702, Baldwin County, Georgia",1991,6
1500000US130099702004,1.301E+11,"Block Group 4, Census Tract 9702, Baldwin County, Georgia",1991,26
1500000US130099702005,1.301E+11,"Block Group 5, Census Tract 9702, Baldwin County, Georgia",1968,16
1500000US130099703001,1.301E+11,"Block Group 1, Census Tract 9703, Baldwin County, Georgia",1992,4
1500000US130099703002,1.301E+11,"Block Group 2, Census Tract 9703, Baldwin County, Georgia",1989,4
1500000US130099704001,1.301E+11,"Block Group 1, Census Tract 9704, Baldwin County, Georgia",1976,5
1500000US130099704002,1.301E+11,"Block Group 2, Census Tract 9704, Baldwin County, Georgia",1971,4
1500000US130099704003,1.301E+11,"Block Group 3, Census Tract 9704, Baldwin County, Georgia",1966,6
1500000US130099704004,1.301E+11,"Block Group 4, Census Tract 9704, Baldwin County, Georgia",1955,10
1500000US130099704005,1.301E+11,"Block Group 5, Census Tract 9704, Baldwin County, Georgia",1979,15
1500000US130099705001,1.301E+11,"Block Group 1, Census Tract 9705, Baldwin County, Georgia",2002,2
1500000US130099705002,1.301E+11,"Block Group 2, Census Tract 9705, Baldwin County, Georgia",1947,30
1500000US130099705003,1.301E+11,"Block Group 3, Census Tract 9705, Baldwin County, Georgia",1993,5
1500000US130099706001,1.301E+11,"Block Group 1, Census Tract 9706, Baldwin County, Georgia",1982,4
1500000US130099706002,1.301E+11,"Block Group 2, Census Tract 9706, Baldwin County, Georgia",1974,7
1500000US130099706003,1.301E+11,"Block Group 3, Census Tract 9706, Baldwin County, Georgia",1967,14
1500000US130099706004,1.301E+11,"Block Group 4, Census Tract 9706, Baldwin County, Georgia",1980,5
1500000US130099707011,1.301E+11,"Block Group 1, Census Tract 9707.01, Baldwin County, Georgia",1950,11
1500000US130099707012,1.301E+11,"Block Group 2, Census Tract 9707.01, Baldwin County, Georgia",1964,8
1500000US130099707013,1.301E+11,"Block Group 3, Census Tract 9707.01, Baldwin County, Georgia",1981,8
1500000US130099707021,1.301E+11,"Block Group 1, Census Tract 9707.02, Baldwin County, Georgia",1964,3
1500000US130099707022,1.301E+11,"Block Group 2, Census Tract 9707.02, Baldwin County, Georgia",1971,7
1500000US130099708001,1.301E+11,"Block Group 1, Census Tract 9708, Baldwin County, Georgia",1981,6
1500000US130099708002,1.301E+11,"Block Group 2, Census Tract 9708, Baldwin County, Georgia",1989,6
1500000US130099708003,1.301E+11,"Block Group 3, Census Tract 9708, Baldwin County, Georgia",1979,6
1500000US130099708004,1.301E+11,"Block Group 4, Census Tract 9708, Baldwin County, Georgia",1990,22
1500000US130119701001,1.3012E+11,"Block Group 1, Census Tract 9701, Banks County, Georgia",1989,4
1500000US130119701002,1.3012E+11,"Block Group 2, Census Tract 9701, Banks County, Georgia",1989,4
1500000US130119702001,1.3012E+11,"Block Group 1, Census Tract 9702, Banks County, Georgia",1988,3
1500000US130119702002,1.3012E+11,"Block Group 2, Census Tract 9702, Banks County, Georgia",1991,4
1500000US130119703001,1.3012E+11,"Block Group 1, Census Tract 9703, Banks County, Georgia",1993,5
1500000US130119703002,1.3012E+11,"Block Group 2, Census Tract 9703, Banks County, Georgia",1990,4
1500000US130119704001,1.3012E+11,"Block Group 1, Census Tract 9704, Banks County, Georgia",1994,2
1500000US130131801031,1.30132E+11,"Block Group 1, Census Tract 1801.03, Barrow County, Georgia",2002,1
1500000US130131801041,1.30132E+11,"Block Group 1, Census Tract 1801.04, Barrow County, Georgia",1988,2
1500000US130131801051,1.30132E+11,"Block Group 1, Census Tract 1801.05, Barrow County, Georgia",1995,3
1500000US130131801061,1.30132E+11,"Block Group 1, Census Tract 1801.06, Barrow County, Georgia",1992,3
1500000US130131801062,1.30132E+11,"Block Group 2, Census Tract 1801.06, Barrow County, Georgia",1988,2
1500000US130131801071,1.30132E+11,"Block Group 1, Census Tract 1801.07, Barrow County, Georgia",1994,4
1500000US130131801072,1.30132E+11,"Block Group 2, Census Tract 1801.07, Barrow County, Georgia",1988,3
1500000US130131801081,1.30132E+11,"Block Group 1, Census Tract 1801.08, Barrow County, Georgia",1993,2
1500000US130131801082,1.30132E+11,"Block Group 2, Census Tract 1801.08, Barrow County, Georgia",1985,2
1500000US130131802031,1.30132E+11,"Block Group 1, Census Tract 1802.03, Barrow County, Georgia",1981,8
1500000US130131802032,1.30132E+11,"Block Group 2, Census Tract 1802.03, Barrow County, Georgia",1994,2
1500000US130131802041,1.30132E+11,"Block Group 1, Census Tract 1802.04, Barrow County, Georgia",1970,6
1500000US130131802042,1.30132E+11,"Block Group 2, Census Tract 1802.04, Barrow County, Georgia",1998,5
1500000US130131802051,1.30132E+11,"Block Group 1, Census Tract 1802.05, Barrow County, Georgia",1996,8
1500000US130131802052,1.30132E+11,"Block Group 2, Census Tract 1802.05, Barrow County, Georgia",1990,5
1500000US130131802053,1.30132E+11,"Block Group 3, Census Tract 1802.05, Barrow County, Georgia",1982,4
1500000US130131802061,1.30132E+11,"Block Group 1, Census Tract 1802.06, Barrow County, Georgia",1990,5
1500000US130131802062,1.30132E+11,"Block Group 2, Census Tract 1802.06, Barrow County, Georgia",1964,7
1500000US130131803011,1.30132E+11,"Block Group 1, Census Tract 1803.01, Barrow County, Georgia",1996,3
1500000US130131803021,1.30132E+11,"Block Group 1, Census Tract 1803.02, Barrow County, Georgia",1992,4
1500000US130131803022,1.30132E+11,"Block Group 2, Census Tract 1803.02, Barrow County, Georgia",2002,2
1500000US130131803031,1.30132E+11,"Block Group 1, Census Tract 1803.03, Barrow County, Georgia",1997,3
1500000US130131803032,1.30132E+11,"Block Group 2, Census Tract 1803.03, Barrow County, Georgia",1994,4
1500000US130131804011,1.30132E+11,"Block Group 1, Census Tract 1804.01, Barrow County, Georgia",2001,3
1500000US130131804012,1.30132E+11,"Block Group 2, Census Tract 1804.01, Barrow County, Georgia",2004,2
1500000US130131804021,1.30132E+11,"Block Group 1, Census Tract 1804.02, Barrow County, Georgia",1986,11
1500000US130131804022,1.30132E+11,"Block Group 2, Census Tract 1804.02, Barrow County, Georgia",1998,5
1500000US130131804023,1.30132E+11,"Block Group 3, Census Tract 1804.02, Barrow County, Georgia",1984,13
1500000US130131805011,1.30132E+11,"Block Group 1, Census Tract 1805.01, Barrow County, Georgia",2003,2
1500000US130131805021,1.30132E+11,"Block Group 1, Census Tract 1805.02, Barrow County, Georgia",2001,5
1500000US130131805022,1.30132E+11,"Block Group 2, Census Tract 1805.02, Barrow County, Georgia",1999,5
1500000US130131805023,1.30132E+11,"Block Group 3, Census Tract 1805.02, Barrow County, Georgia",1992,2
1500000US130131805024,1.30132E+11,"Block Group 4, Census Tract 1805.02, Barrow County, Georgia",1993,6
1500000US130131805031,1.30132E+11,"Block Group 1, Census Tract 1805.03, Barrow County, Georgia",2001,2
1500000US130159601011,1.3016E+11,"Block Group 1, Census Tract 9601.01, Bartow County, Georgia",1985,3
1500000US130159601021,1.3016E+11,"Block Group 1, Census Tract 9601.02, Bartow County, Georgia",2000,3
1500000US130159601022,1.3016E+11,"Block Group 2, Census Tract 9601.02, Bartow County, Georgia",1985,12
1500000US130159601023,1.3016E+11,"Block Group 3, Census Tract 9601.02, Bartow County, Georgia",1992,4
1500000US130159602001,1.3016E+11,"Block Group 1, Census Tract 9602, Bartow County, Georgia",1992,3
1500000US130159602002,1.3016E+11,"Block Group 2, Census Tract 9602, Bartow County, Georgia",1995,38
1500000US130159602003,1.3016E+11,"Block Group 3, Census Tract 9602, Bartow County, Georgia",1996,6
1500000US130159602004,1.3016E+11,"Block Group 4, Census Tract 9602, Bartow County, Georgia",1998,5
1500000US130159602005,1.3016E+11,"Block Group 5, Census Tract 9602, Bartow County, Georgia",1986,6
1500000US130159603001,1.3016E+11,"Block Group 1, Census Tract 9603, Bartow County, Georgia",1995,3
1500000US130159603002,1.3016E+11,"Block Group 2, Census Tract 9603, Bartow County, Georgia",1997,4
1500000US130159604011,1.3016E+11,"Block Group 1, Census Tract 9604.01, Bartow County, Georgia",1979,6
1500000US130159604012,1.3016E+11,"Block Group 2, Census Tract 9604.01, Bartow County, Georgia",1996,3
1500000US130159604013,1.3016E+11,"Block Group 3, Census Tract 9604.01, Bartow County, Georgia",1993,4
1500000US130159604021,1.3016E+11,"Block Group 1, Census Tract 9604.02, Bartow County, Georgia",2001,9
1500000US130159604022,1.3016E+11,"Block Group 2, Census Tract 9604.02, Bartow County, Georgia",1996,4
1500000US130159604023,1.3016E+11,"Block Group 3, Census Tract 9604.02, Bartow County, Georgia",1993,5
1500000US130159605001,1.3016E+11,"Block Group 1, Census Tract 9605, Bartow County, Georgia",1977,7
1500000US130159605002,1.3016E+11,"Block Group 2, Census Tract 9605, Bartow County, Georgia",1975,4
1500000US130159605003,1.3016E+11,"Block Group 3, Census Tract 9605, Bartow County, Georgia",1964,8
1500000US130159605004,1.3016E+11,"Block Group 4, Census Tract 9605, Bartow County, Georgia",1989,5
1500000US130159606001,1.3016E+11,"Block Group 1, Census Tract 9606, Bartow County, Georgia",1951,31
1500000US130159606002,1.3016E+11,"Block Group 2, Census Tract 9606, Bartow County, Georgia",1954,14
1500000US130159606003,1.3016E+11,"Block Group 3, Census Tract 9606, Bartow County, Georgia",1963,4
1500000US130159606004,1.3016E+11,"Block Group 4, Census Tract 9606, Bartow County, Georgia",1973,9
1500000US130159606005,1.3016E+11,"Block Group 5, Census Tract 9606, Bartow County, Georgia",1993,2
1500000US130159606006,1.3016E+11,"Block Group 6, Census Tract 9606, Bartow County, Georgia",1957,9
1500000US130159607001,1.3016E+11,"Block Group 1, Census Tract 9607, Bartow County, Georgia",1993,6
1500000US130159607002,1.3016E+11,"Block Group 2, Census Tract 9607, Bartow County, Georgia",1998,6
1500000US130159607003,1.3016E+11,"Block Group 3, Census Tract 9607, Bartow County, Georgia",1987,12
1500000US130159607004,1.3016E+11,"Block Group 4, Census Tract 9607, Bartow County, Georgia",1964,9
1500000US130159607005,1.3016E+11,"Block Group 5, Census Tract 9607, Bartow County, Georgia",1990,12
1500000US130159608011,1.3016E+11,"Block Group 1, Census Tract 9608.01, Bartow County, Georgia",1989,3
1500000US130159608012,1.3016E+11,"Block Group 2, Census Tract 9608.01, Bartow County, Georgia",1991,2
1500000US130159608021,1.3016E+11,"Block Group 1, Census Tract 9608.02, Bartow County, Georgia",1991,3
1500000US130159608022,1.3016E+11,"Block Group 2, Census Tract 9608.02, Bartow County, Georgia",1981,5
1500000US130159608031,1.3016E+11,"Block Group 1, Census Tract 9608.03, Bartow County, Georgia",1992,5
1500000US130159608032,1.3016E+11,"Block Group 2, Census Tract 9608.03, Bartow County, Georgia",1980,4
1500000US130159608033,1.3016E+11,"Block Group 3, Census Tract 9608.03, Bartow County, Georgia",1990,3
1500000US130159609011,1.3016E+11,"Block Group 1, Census Tract 9609.01, Bartow County, Georgia",1989,8
1500000US130159609012,1.3016E+11,"Block Group 2, Census Tract 9609.01, Bartow County, Georgia",1988,4
1500000US130159609021,1.3016E+11,"Block Group 1, Census Tract 9609.02, Bartow County, Georgia",1993,2
1500000US130159609022,1.3016E+11,"Block Group 2, Census Tract 9609.02, Bartow County, Georgia",1990,12
1500000US130159609023,1.3016E+11,"Block Group 3, Census Tract 9609.02, Bartow County, Georgia",1996,3
1500000US130159609024,1.3016E+11,"Block Group 4, Census Tract 9609.02, Bartow County, Georgia",1988,5
1500000US130159610001,1.3016E+11,"Block Group 1, Census Tract 9610, Bartow County, Georgia",1991,4
1500000US130159610002,1.3016E+11,"Block Group 2, Census Tract 9610, Bartow County, Georgia",1991,6
1500000US130159610003,1.3016E+11,"Block Group 3, Census Tract 9610, Bartow County, Georgia",2000,3
1500000US130159610004,1.3016E+11,"Block Group 4, Census Tract 9610, Bartow County, Georgia",1994,2
1500000US130179601001,1.3018E+11,"Block Group 1, Census Tract 9601, Ben Hill County, Georgia",1991,2
1500000US130179602001,1.3018E+11,"Block Group 1, Census Tract 9602, Ben Hill County, Georgia",1988,3
1500000US130179603001,1.3018E+11,"Block Group 1, Census Tract 9603, Ben Hill County, Georgia",1977,5
1500000US130179603002,1.3018E+11,"Block Group 2, Census Tract 9603, Ben Hill County, Georgia",1963,11
1500000US130179603003,1.3018E+11,"Block Group 3, Census Tract 9603, Ben Hill County, Georgia",1984,5
1500000US130179603004,1.3018E+11,"Block Group 4, Census Tract 9603, Ben Hill County, Georgia",1967,5
1500000US130179604001,1.3018E+11,"Block Group 1, Census Tract 9604, Ben Hill County, Georgia",1994,4
1500000US130179604002,1.3018E+11,"Block Group 2, Census Tract 9604, Ben Hill County, Georgia",1989,11
1500000US130179604003,1.3018E+11,"Block Group 3, Census Tract 9604, Ben Hill County, Georgia",1976,11
1500000US130179604004,1.3018E+11,"Block Group 4, Census Tract 9604, Ben Hill County, Georgia",1981,10
1500000US130179605001,1.3018E+11,"Block Group 1, Census Tract 9605, Ben Hill County, Georgia",1977,6
1500000US130179605002,1.3018E+11,"Block Group 2, Census Tract 9605, Ben Hill County, Georgia",1974,15
1500000US130179605003,1.3018E+11,"Block Group 3, Census Tract 9605, Ben Hill County, Georgia",1973,16
1500000US130179605004,1.3018E+11,"Block Group 4, Census Tract 9605, Ben Hill County, Georgia",1971,7
1500000US130179605005,1.3018E+11,"Block Group 5, Census Tract 9605, Ben Hill County, Georgia",1979,10
1500000US130199701001,1.302E+11,"Block Group 1, Census Tract 9701, Berrien County, Georgia",1983,9
1500000US130199701002,1.302E+11,"Block Group 2, Census Tract 9701, Berrien County, Georgia",1978,4
1500000US130199702001,1.302E+11,"Block Group 1, Census Tract 9702, Berrien County, Georgia",1991,4
1500000US130199702002,1.302E+11,"Block Group 2, Census Tract 9702, Berrien County, Georgia",1989,6
1500000US130199703001,1.302E+11,"Block Group 1, Census Tract 9703, Berrien County, Georgia",1982,8
1500000US130199703002,1.302E+11,"Block Group 2, Census Tract 9703, Berrien County, Georgia",1971,10
1500000US130199703003,1.302E+11,"Block Group 3, Census Tract 9703, Berrien County, Georgia",1978,7
1500000US130199704001,1.302E+11,"Block Group 1, Census Tract 9704, Berrien County, Georgia",1992,4
1500000US130199704002,1.302E+11,"Block Group 2, Census Tract 9704, Berrien County, Georgia",1969,5
1500000US130199704003,1.302E+11,"Block Group 3, Census Tract 9704, Berrien County, Georgia",1974,3
1500000US130199705001,1.302E+11,"Block Group 1, Census Tract 9705, Berrien County, Georgia",1981,10
1500000US130199705002,1.302E+11,"Block Group 2, Census Tract 9705, Berrien County, Georgia",1983,7
1500000US130199706001,1.302E+11,"Block Group 1, Census Tract 9706, Berrien County, Georgia",1990,8
1500000US130199706002,1.302E+11,"Block Group 2, Census Tract 9706, Berrien County, Georgia",1990,4
1500000US130199706003,1.302E+11,"Block Group 3, Census Tract 9706, Berrien County, Georgia",1984,5
1500000US130210101001,1.3021E+11,"Block Group 1, Census Tract 101, Bibb County, Georgia",1957,15
1500000US130210101002,1.3021E+11,"Block Group 2, Census Tract 101, Bibb County, Georgia",1948,6
1500000US130210102001,1.3021E+11,"Block Group 1, Census Tract 102, Bibb County, Georgia",1941,5
1500000US130210102002,1.3021E+11,"Block Group 2, Census Tract 102, Bibb County, Georgia",1964,16
1500000US130210102003,1.3021E+11,"Block Group 3, Census Tract 102, Bibb County, Georgia",1939-,***
1500000US130210103001,1.3021E+11,"Block Group 1, Census Tract 103, Bibb County, Georgia",1942,6
1500000US130210104001,1.3021E+11,"Block Group 1, Census Tract 104, Bibb County, Georgia",1939-,***
1500000US130210104002,1.3021E+11,"Block Group 2, Census Tract 104, Bibb County, Georgia",1958,3
1500000US130210104003,1.3021E+11,"Block Group 3, Census Tract 104, Bibb County, Georgia",1959,6
1500000US130210104004,1.3021E+11,"Block Group 4, Census Tract 104, Bibb County, Georgia",1957,5
1500000US130210105001,1.3021E+11,"Block Group 1, Census Tract 105, Bibb County, Georgia",1951,6
1500000US130210105002,1.3021E+11,"Block Group 2, Census Tract 105, Bibb County, Georgia",2003,11
1500000US130210108001,1.3021E+11,"Block Group 1, Census Tract 108, Bibb County, Georgia",1939-,***
1500000US130210110001,1.3021E+11,"Block Group 1, Census Tract 110, Bibb County, Georgia",1947,8
1500000US130210110002,1.3021E+11,"Block Group 2, Census Tract 110, Bibb County, Georgia",1952,21
1500000US130210110003,1.3021E+11,"Block Group 3, Census Tract 110, Bibb County, Georgia",1948,16
1500000US130210110004,1.3021E+11,"Block Group 4, Census Tract 110, Bibb County, Georgia",1982,5
1500000US130210110005,1.3021E+11,"Block Group 5, Census Tract 110, Bibb County, Georgia",1977,4
1500000US130210111001,1.3021E+11,"Block Group 1, Census Tract 111, Bibb County, Georgia",1962,3
1500000US130210111002,1.3021E+11,"Block Group 2, Census Tract 111, Bibb County, Georgia",1963,3
1500000US130210111003,1.3021E+11,"Block Group 3, Census Tract 111, Bibb County, Georgia",1956,5
