,ID,ID2,GEOGRAPHY,T,NO_HIGHSCHOOL,HIGHSCHOOL_GED,SOMECOLLEGE,PROFESSIONALDEGREE,PCT_NO_HIGHSCHOOL,PCT_HIGHSCHOOL_GED,PCT_SOMECOLLEGE,PCT_PROFESSIONALDEGREE
0,1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",589,143,256,71,110,24.2784380306,43.4634974533,12.0543293718,18.675721562
1,1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",1616,421,675,218,302,26.051980198,41.7698019802,13.4900990099,18.6881188119
2,1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",1253,291,607,157,198,23.2242617717,48.4437350359,12.5299281724,15.80207502
3,1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",817,235,354,130,98,28.7637698898,43.329253366,15.911872705,11.9951040392
4,1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",787,169,371,136,111,21.4739517154,47.1410419314,17.2808132147,14.1041931385
5,1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",565,198,294,73,0,35.0442477876,52.0353982301,12.9203539823,0.0
6,1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",1016,108,532,203,173,10.6299212598,52.3622047244,19.9803149606,17.0275590551
7,1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",783,119,222,142,300,15.1979565773,28.3524904215,18.1353767561,38.3141762452
8,1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",1143,320,432,131,245,27.9965004374,37.7952755906,11.4610673666,21.4348206474
9,1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",435,110,128,121,76,25.2873563218,29.4252873563,27.816091954,17.4712643678
10,1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",569,115,260,94,100,20.2108963093,45.6942003515,16.5202108963,17.5746924429
11,1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",519,55,314,62,74,10.5973025048,60.5009633911,11.9460500963,14.2581888247
12,1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",1084,253,406,221,204,23.3394833948,37.4538745387,20.3874538745,18.8191881919
13,1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",1021,367,370,99,159,35.9451518119,36.2389813908,9.69637610186,15.5729676787
14,1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",678,150,222,185,121,22.1238938053,32.7433628319,27.2861356932,17.8466076696
15,1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",634,277,238,81,38,43.690851735,37.5394321767,12.7760252366,5.99369085174
16,1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",1179,305,526,156,192,25.8693808312,44.6140797286,13.2315521628,16.2849872774
17,1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",726,228,290,21,187,31.4049586777,39.9449035813,2.89256198347,25.7575757576
18,1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1137,372,427,222,116,32.7176781003,37.5549692172,19.5250659631,10.2022867194
19,1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",890,265,354,187,79,29.7752808989,39.7752808989,21.0112359551,8.87640449438
