,ID,ID2,GEOGRAPHY,EST_T,EST_T_OWNER_OCCUPIED,EST_T_RENTER_OCCUPIED,PCT_EST_T_OWNER_OCCUPIED,PCT_EST_T_RENTER_OCCUPIED
0,1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",912,664,248,72.8070175439,27.1929824561
1,1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",2475,2086,389,84.2828282828,15.7171717172
2,1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",2036,1642,394,80.6483300589,19.3516699411
3,1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",1300,494,806,38.0,62.0
4,1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",1036,707,329,68.2432432432,31.7567567568
5,1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",708,172,536,24.2937853107,75.7062146893
6,1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",1585,581,1004,36.6561514196,63.3438485804
7,1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",983,474,509,48.2197355036,51.7802644964
8,1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",1460,1265,195,86.6438356164,13.3561643836
9,1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",755,600,155,79.4701986755,20.5298013245
10,1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",698,572,126,81.9484240688,18.0515759312
11,1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",695,500,195,71.9424460432,28.0575539568
12,1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",1627,1092,535,67.1173939766,32.8826060234
13,1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",1645,1203,442,73.1306990881,26.8693009119
14,1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1031,773,258,74.9757516974,25.0242483026
15,1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1054,773,281,73.339658444,26.660341556
16,1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",2046,1734,312,84.7507331378,15.2492668622
17,1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1072,693,379,64.6455223881,35.3544776119
18,1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1747,1006,741,57.5844304522,42.4155695478
19,1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1307,1168,139,89.3649579189,10.6350420811
20,1500000US130059701001,130059701001,"Block Group 1, Census Tract 9701, Bacon County, Georgia",1527,1082,445,70.8578912901,29.1421087099
21,1500000US130059701002,130059701002,"Block Group 2, Census Tract 9701, Bacon County, Georgia",820,738,82,90.0,10.0
22,1500000US130059701003,130059701003,"Block Group 3, Census Tract 9701, Bacon County, Georgia",741,580,161,78.2726045884,21.7273954116
23,1500000US130059702011,130059702011,"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",1557,1351,206,86.7694283879,13.2305716121
24,1500000US130059702012,130059702012,"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",1161,738,423,63.5658914729,36.4341085271
25,1500000US130059702013,130059702013,"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",1149,250,899,21.7580504787,78.2419495213
26,1500000US130059702021,130059702021,"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",2324,1806,518,77.7108433735,22.2891566265
27,1500000US130059702022,130059702022,"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",868,605,263,69.7004608295,30.2995391705
28,1500000US130059702023,130059702023,"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",549,226,323,41.1657559199,58.8342440801
29,1500000US130079601001,130079601001,"Block Group 1, Census Tract 9601, Baker County, Georgia",815,509,306,62.4539877301,37.5460122699
30,1500000US130079601002,130079601002,"Block Group 2, Census Tract 9601, Baker County, Georgia",1394,956,438,68.5796269727,31.4203730273
31,1500000US130079602001,130079602001,"Block Group 1, Census Tract 9602, Baker County, Georgia",468,403,65,86.1111111111,13.8888888889
32,1500000US130079602002,130079602002,"Block Group 2, Census Tract 9602, Baker County, Georgia",615,525,90,85.3658536585,14.6341463415
33,1500000US130099701001,130099701001,"Block Group 1, Census Tract 9701, Baldwin County, Georgia",1461,1283,178,87.8165639973,12.1834360027
34,1500000US130099701002,130099701002,"Block Group 2, Census Tract 9701, Baldwin County, Georgia",1264,838,426,66.2974683544,33.7025316456
35,1500000US130099701003,130099701003,"Block Group 3, Census Tract 9701, Baldwin County, Georgia",2489,1967,522,79.0277219767,20.9722780233
36,1500000US130099702001,130099702001,"Block Group 1, Census Tract 9702, Baldwin County, Georgia",1025,493,532,48.0975609756,51.9024390244
37,1500000US130099702002,130099702002,"Block Group 2, Census Tract 9702, Baldwin County, Georgia",2291,1385,906,60.4539502401,39.5460497599
38,1500000US130099702003,130099702003,"Block Group 3, Census Tract 9702, Baldwin County, Georgia",2082,745,1337,35.7829010567,64.2170989433
39,1500000US130099702004,130099702004,"Block Group 4, Census Tract 9702, Baldwin County, Georgia",313,10,303,3.19488817891,96.8051118211
40,1500000US130099702005,130099702005,"Block Group 5, Census Tract 9702, Baldwin County, Georgia",784,114,670,14.5408163265,85.4591836735
41,1500000US130099703001,130099703001,"Block Group 1, Census Tract 9703, Baldwin County, Georgia",2826,2247,579,79.5116772824,20.4883227176
42,1500000US130099703002,130099703002,"Block Group 2, Census Tract 9703, Baldwin County, Georgia",3531,2260,1271,64.0045312943,35.9954687057
