,ID,ID2,GEOGRAPHY,EST_T,EST_T_NOT_HISPANIC_OR_LATINO,EST_T_HISPANIC_OR_LATINO,PCT_Latino
0,1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",912,912,0,0.0
1,1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",2498,2498,0,0.0
2,1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",2036,1722,314,15.4223968566
3,1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",1593,1371,222,13.9359698682
4,1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",1036,1036,0,0.0
5,1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",708,708,0,0.0
6,1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",1585,1338,247,15.5835962145
7,1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",1085,1034,51,4.70046082949
8,1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",1493,1204,289,19.3569993302
9,1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",755,741,14,1.85430463576
10,1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",698,685,13,1.86246418338
11,1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",695,695,0,0.0
12,1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",1678,1634,44,2.62216924911
13,1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",1645,1116,529,32.1580547112
14,1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1031,827,204,19.786614937
15,1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1054,717,337,31.9734345351
16,1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",2046,1387,659,32.2091886608
17,1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1072,740,332,30.9701492537
18,1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1784,1448,336,18.8340807175
19,1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1307,1165,142,10.8645753634
20,1500000US130059701001,130059701001,"Block Group 1, Census Tract 9701, Bacon County, Georgia",1527,1257,270,17.6817288802
21,1500000US130059701002,130059701002,"Block Group 2, Census Tract 9701, Bacon County, Georgia",820,795,25,3.0487804878
22,1500000US130059701003,130059701003,"Block Group 3, Census Tract 9701, Bacon County, Georgia",741,741,0,0.0
23,1500000US130059702011,130059702011,"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",1562,1498,64,4.09731113956
24,1500000US130059702012,130059702012,"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",1161,828,333,28.6821705426
25,1500000US130059702013,130059702013,"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",1287,1287,0,0.0
26,1500000US130059702021,130059702021,"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",2324,2163,161,6.92771084337
27,1500000US130059702022,130059702022,"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",1251,1225,26,2.07833733014
28,1500000US130059702023,130059702023,"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",549,549,0,0.0
29,1500000US130079601001,130079601001,"Block Group 1, Census Tract 9601, Baker County, Georgia",815,811,4,0.490797546012
30,1500000US130079601002,130079601002,"Block Group 2, Census Tract 9601, Baker County, Georgia",1394,1356,38,2.72596843615
31,1500000US130079602001,130079602001,"Block Group 1, Census Tract 9602, Baker County, Georgia",468,446,22,4.70085470085
32,1500000US130079602002,130079602002,"Block Group 2, Census Tract 9602, Baker County, Georgia",615,615,0,0.0
33,1500000US130099701001,130099701001,"Block Group 1, Census Tract 9701, Baldwin County, Georgia",1461,1461,0,0.0
34,1500000US130099701002,130099701002,"Block Group 2, Census Tract 9701, Baldwin County, Georgia",1264,1264,0,0.0
35,1500000US130099701003,130099701003,"Block Group 3, Census Tract 9701, Baldwin County, Georgia",2489,2366,123,4.94174367216
36,1500000US130099702001,130099702001,"Block Group 1, Census Tract 9702, Baldwin County, Georgia",1025,855,170,16.5853658537
37,1500000US130099702002,130099702002,"Block Group 2, Census Tract 9702, Baldwin County, Georgia",2291,2267,24,1.04757747708
38,1500000US130099702003,130099702003,"Block Group 3, Census Tract 9702, Baldwin County, Georgia",2092,2073,19,0.908221797323
39,1500000US130099702004,130099702004,"Block Group 4, Census Tract 9702, Baldwin County, Georgia",313,313,0,0.0
40,1500000US130099702005,130099702005,"Block Group 5, Census Tract 9702, Baldwin County, Georgia",803,778,25,3.11332503113
