,ID,ID2,GEOGRAPHY,EST_MEDIAN_HOUSEHOLD_INCOME_IN_THE_PAST_12_MONTHS_IN_2015_INFLATIONADJUSTED_DOLLARS
0,1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",39018
1,1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",53618
2,1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",31520
3,1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",29676
4,1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",28167
5,1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",29375
6,1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",31597
7,1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",70208
8,1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",37093
9,1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",26528
10,1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",42063
11,1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",26719
12,1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",45357
13,1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",37885
14,1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",44844
15,1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",24323
16,1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",31859
17,1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",23426
18,1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",30484
19,1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",50000
20,1500000US130059701001,130059701001,"Block Group 1, Census Tract 9701, Bacon County, Georgia",49583
21,1500000US130059701002,130059701002,"Block Group 2, Census Tract 9701, Bacon County, Georgia",57344
22,1500000US130059701003,130059701003,"Block Group 3, Census Tract 9701, Bacon County, Georgia",46111
23,1500000US130059702011,130059702011,"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",44417
24,1500000US130059702012,130059702012,"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",63429
25,1500000US130059702013,130059702013,"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",23795
26,1500000US130059702021,130059702021,"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",43506
27,1500000US130059702022,130059702022,"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",21250
28,1500000US130059702023,130059702023,"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",15391
29,1500000US130079601001,130079601001,"Block Group 1, Census Tract 9601, Baker County, Georgia",21339
30,1500000US130079601002,130079601002,"Block Group 2, Census Tract 9601, Baker County, Georgia",46750
31,1500000US130079602001,130079602001,"Block Group 1, Census Tract 9602, Baker County, Georgia",49355
32,1500000US130079602002,130079602002,"Block Group 2, Census Tract 9602, Baker County, Georgia",45625
33,1500000US130099701001,130099701001,"Block Group 1, Census Tract 9701, Baldwin County, Georgia",59515
34,1500000US130099701002,130099701002,"Block Group 2, Census Tract 9701, Baldwin County, Georgia",35938
35,1500000US130099701003,130099701003,"Block Group 3, Census Tract 9701, Baldwin County, Georgia",34107
36,1500000US130099702001,130099702001,"Block Group 1, Census Tract 9702, Baldwin County, Georgia",33281
37,1500000US130099702002,130099702002,"Block Group 2, Census Tract 9702, Baldwin County, Georgia",52984
38,1500000US130099702003,130099702003,"Block Group 3, Census Tract 9702, Baldwin County, Georgia",33346
39,1500000US130099702004,130099702004,"Block Group 4, Census Tract 9702, Baldwin County, Georgia",14333
40,1500000US130099702005,130099702005,"Block Group 5, Census Tract 9702, Baldwin County, Georgia",13372
41,1500000US130099703001,130099703001,"Block Group 1, Census Tract 9703, Baldwin County, Georgia",62576
42,1500000US130099703002,130099703002,"Block Group 2, Census Tract 9703, Baldwin County, Georgia",52519
43,1500000US130099704001,130099704001,"Block Group 1, Census Tract 9704, Baldwin County, Georgia",50000
44,1500000US130099704002,130099704002,"Block Group 2, Census Tract 9704, Baldwin County, Georgia",52841
45,1500000US130099704003,130099704003,"Block Group 3, Census Tract 9704, Baldwin County, Georgia",30112
46,1500000US130099704005,130099704005,"Block Group 5, Census Tract 9704, Baldwin County, Georgia",9516
47,1500000US130099705001,130099705001,"Block Group 1, Census Tract 9705, Baldwin County, Georgia",11094
48,1500000US130099705002,130099705002,"Block Group 2, Census Tract 9705, Baldwin County, Georgia",24000
49,1500000US130099705003,130099705003,"Block Group 3, Census Tract 9705, Baldwin County, Georgia",49141
50,1500000US130099706001,130099706001,"Block Group 1, Census Tract 9706, Baldwin County, Georgia",23068
51,1500000US130099706002,130099706002,"Block Group 2, Census Tract 9706, Baldwin County, Georgia",34732
52,1500000US130099706003,130099706003,"Block Group 3, Census Tract 9706, Baldwin County, Georgia",17344
53,1500000US130099706004,130099706004,"Block Group 4, Census Tract 9706, Baldwin County, Georgia",23625
54,1500000US130099707011,130099707011,"Block Group 1, Census Tract 9707.01, Baldwin County, Georgia",25625
55,1500000US130099707012,130099707012,"Block Group 2, Census Tract 9707.01, Baldwin County, Georgia",18906
56,1500000US130099707013,130099707013,"Block Group 3, Census Tract 9707.01, Baldwin County, Georgia",16518
57,1500000US130099707021,130099707021,"Block Group 1, Census Tract 9707.02, Baldwin County, Georgia",36029
58,1500000US130099707022,130099707022,"Block Group 2, Census Tract 9707.02, Baldwin County, Georgia",21500
59,1500000US130099708001,130099708001,"Block Group 1, Census Tract 9708, Baldwin County, Georgia",24944
60,1500000US130099708002,130099708002,"Block Group 2, Census Tract 9708, Baldwin County, Georgia",37698
61,1500000US130099708003,130099708003,"Block Group 3, Census Tract 9708, Baldwin County, Georgia",37639
62,1500000US130119701001,130119701001,"Block Group 1, Census Tract 9701, Banks County, Georgia",38947
63,1500000US130119701002,130119701002,"Block Group 2, Census Tract 9701, Banks County, Georgia",43703
64,1500000US130119702001,130119702001,"Block Group 1, Census Tract 9702, Banks County, Georgia",37981
65,1500000US130119702002,130119702002,"Block Group 2, Census Tract 9702, Banks County, Georgia",40682
66,1500000US130119703001,130119703001,"Block Group 1, Census Tract 9703, Banks County, Georgia",51920
67,1500000US130119703002,130119703002,"Block Group 2, Census Tract 9703, Banks County, Georgia",42396
68,1500000US130119704001,130119704001,"Block Group 1, Census Tract 9704, Banks County, Georgia",38884
69,1500000US130131801031,130131801031,"Block Group 1, Census Tract 1801.03, Barrow County, Georgia",79115
70,1500000US130131801041,130131801041,"Block Group 1, Census Tract 1801.04, Barrow County, Georgia",44271
71,1500000US130131801051,130131801051,"Block Group 1, Census Tract 1801.05, Barrow County, Georgia",50341
72,1500000US130131801061,130131801061,"Block Group 1, Census Tract 1801.06, Barrow County, Georgia",54600
73,1500000US130131801062,130131801062,"Block Group 2, Census Tract 1801.06, Barrow County, Georgia",51653
74,1500000US130131801071,130131801071,"Block Group 1, Census Tract 1801.07, Barrow County, Georgia",54274
75,1500000US130131801072,130131801072,"Block Group 2, Census Tract 1801.07, Barrow County, Georgia",40295
76,1500000US130131801081,130131801081,"Block Group 1, Census Tract 1801.08, Barrow County, Georgia",54814
77,1500000US130131801082,130131801082,"Block Group 2, Census Tract 1801.08, Barrow County, Georgia",47423
78,1500000US130131802031,130131802031,"Block Group 1, Census Tract 1802.03, Barrow County, Georgia",34158
79,1500000US130131802032,130131802032,"Block Group 2, Census Tract 1802.03, Barrow County, Georgia",42778
80,1500000US130131802041,130131802041,"Block Group 1, Census Tract 1802.04, Barrow County, Georgia",25540
81,1500000US130131802042,130131802042,"Block Group 2, Census Tract 1802.04, Barrow County, Georgia",52882
82,1500000US130131802051,130131802051,"Block Group 1, Census Tract 1802.05, Barrow County, Georgia",43250
83,1500000US130131802052,130131802052,"Block Group 2, Census Tract 1802.05, Barrow County, Georgia",20871
84,1500000US130131802053,130131802053,"Block Group 3, Census Tract 1802.05, Barrow County, Georgia",34783
85,1500000US130131802061,130131802061,"Block Group 1, Census Tract 1802.06, Barrow County, Georgia",70500
86,1500000US130131802062,130131802062,"Block Group 2, Census Tract 1802.06, Barrow County, Georgia",39659
87,1500000US130131803011,130131803011,"Block Group 1, Census Tract 1803.01, Barrow County, Georgia",64038
88,1500000US130131803021,130131803021,"Block Group 1, Census Tract 1803.02, Barrow County, Georgia",56809
89,1500000US130131803022,130131803022,"Block Group 2, Census Tract 1803.02, Barrow County, Georgia",54003
90,1500000US130131803031,130131803031,"Block Group 1, Census Tract 1803.03, Barrow County, Georgia",54495
91,1500000US130131803032,130131803032,"Block Group 2, Census Tract 1803.03, Barrow County, Georgia",49414
92,1500000US130131804011,130131804011,"Block Group 1, Census Tract 1804.01, Barrow County, Georgia",63313
93,1500000US130131804012,130131804012,"Block Group 2, Census Tract 1804.01, Barrow County, Georgia",60503
94,1500000US130131804021,130131804021,"Block Group 1, Census Tract 1804.02, Barrow County, Georgia",56731
95,1500000US130131804022,130131804022,"Block Group 2, Census Tract 1804.02, Barrow County, Georgia",47801
96,1500000US130131804023,130131804023,"Block Group 3, Census Tract 1804.02, Barrow County, Georgia",49038
97,1500000US130131805011,130131805011,"Block Group 1, Census Tract 1805.01, Barrow County, Georgia",55227
98,1500000US130131805021,130131805021,"Block Group 1, Census Tract 1805.02, Barrow County, Georgia",60903
99,1500000US130131805022,130131805022,"Block Group 2, Census Tract 1805.02, Barrow County, Georgia",56364
100,1500000US130131805023,130131805023,"Block Group 3, Census Tract 1805.02, Barrow County, Georgia",39219
101,1500000US130131805024,130131805024,"Block Group 4, Census Tract 1805.02, Barrow County, Georgia",41538
102,1500000US130131805031,130131805031,"Block Group 1, Census Tract 1805.03, Barrow County, Georgia",61250
103,1500000US130159601011,130159601011,"Block Group 1, Census Tract 9601.01, Bartow County, Georgia",59741
104,1500000US130159601021,130159601021,"Block Group 1, Census Tract 9601.02, Bartow County, Georgia",81184
105,1500000US130159601022,130159601022,"Block Group 2, Census Tract 9601.02, Bartow County, Georgia",55313
106,1500000US130159601023,130159601023,"Block Group 3, Census Tract 9601.02, Bartow County, Georgia",45699
107,1500000US130159602001,130159602001,"Block Group 1, Census Tract 9602, Bartow County, Georgia",44306
108,1500000US130159602003,130159602003,"Block Group 3, Census Tract 9602, Bartow County, Georgia",60039
109,1500000US130159602004,130159602004,"Block Group 4, Census Tract 9602, Bartow County, Georgia",43772
110,1500000US130159602005,130159602005,"Block Group 5, Census Tract 9602, Bartow County, Georgia",58085
111,1500000US130159603001,130159603001,"Block Group 1, Census Tract 9603, Bartow County, Georgia",50417
112,1500000US130159603002,130159603002,"Block Group 2, Census Tract 9603, Bartow County, Georgia",72396
113,1500000US130159604011,130159604011,"Block Group 1, Census Tract 9604.01, Bartow County, Georgia",52684
114,1500000US130159604012,130159604012,"Block Group 2, Census Tract 9604.01, Bartow County, Georgia",58079
115,1500000US130159604013,130159604013,"Block Group 3, Census Tract 9604.01, Bartow County, Georgia",40461
116,1500000US130159604021,130159604021,"Block Group 1, Census Tract 9604.02, Bartow County, Georgia",61597
117,1500000US130159604022,130159604022,"Block Group 2, Census Tract 9604.02, Bartow County, Georgia",43630
118,1500000US130159604023,130159604023,"Block Group 3, Census Tract 9604.02, Bartow County, Georgia",39695
119,1500000US130159605001,130159605001,"Block Group 1, Census Tract 9605, Bartow County, Georgia",43223
120,1500000US130159605002,130159605002,"Block Group 2, Census Tract 9605, Bartow County, Georgia",41964
121,1500000US130159605003,130159605003,"Block Group 3, Census Tract 9605, Bartow County, Georgia",39720
122,1500000US130159605004,130159605004,"Block Group 4, Census Tract 9605, Bartow County, Georgia",50151
