,ID,ID2,GEOGRAPHY,EST_T,EST_T_WHITE_ALONE,EST_T_BLACK_OR_AFRICAN_AMERICAN_ALONE,EST_T_AMERICAN_INDIAN_ALASKA_NATIVE_ALONE,EST_T_ASIAN_ALONE,EST_T_NATIVE_HAWAIIAN_OTHER_PACIFIC_ISLANDER_ALONE,EST_T_SOME_OTHER_RACE_ALONE,EST_T_TWO_RACES,PCT_EST_T_WHITE_ALONE,PCT_EST_T_BLACK_OR_AFRICAN_AMERICAN_ALONE,PCT_EST_T_AMERICAN_INDIAN_ALASKA_NATIVE_ALONE,PCT_EST_T_ASIAN_ALONE,PCT_EST_T_NATIVE_HAWAIIAN_OTHER_PACIFIC_ISLANDER_ALONE,PCT_EST_T_SOME_OTHER_RACE_ALONE,PCT_EST_T_TWO_RACES
0,1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",912,867,13,21,11,0,0,0,95.0657894737,1.42543859649,2.30263157895,1.20614035088,0.0,0.0,0.0
1,1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",2498,2444,54,0,0,0,0,0,97.8382706165,2.16172938351,0.0,0.0,0.0,0.0,0.0
2,1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",2036,1126,781,0,0,0,129,0,55.304518664,38.3595284872,0.0,0.0,0.0,6.33595284872,0.0
3,1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",1593,837,687,0,0,0,4,130,52.5423728814,43.1261770245,0.0,0.0,0.0,0.251098556183,8.16070307596
4,1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",1036,391,587,0,58,0,0,0,37.7413127413,56.6602316602,0.0,5.59845559846,0.0,0.0,0.0
5,1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",708,373,249,0,45,0,0,82,52.6836158192,35.1694915254,0.0,6.35593220339,0.0,0.0,11.581920904
6,1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",1585,1359,121,0,0,0,0,210,85.7413249211,7.63406940063,0.0,0.0,0.0,0.0,13.2492113565
7,1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",1085,858,152,0,40,0,0,70,79.0783410138,14.0092165899,0.0,3.6866359447,0.0,0.0,6.45161290323
8,1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",1493,1022,237,0,0,0,234,0,68.4527796383,15.8740790355,0.0,0.0,0.0,15.6731413262,0.0
9,1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",755,307,448,0,0,0,0,0,40.6622516556,59.3377483444,0.0,0.0,0.0,0.0,0.0
10,1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",698,698,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",695,683,0,0,0,12,0,0,98.273381295,0.0,0.0,0.0,1.72661870504,0.0,0.0
12,1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",1678,1511,150,0,0,0,0,34,90.0476758045,8.93921334923,0.0,0.0,0.0,0.0,2.02622169249
13,1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",1645,1645,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1031,850,71,0,0,0,93,34,82.444228904,6.88651794374,0.0,0.0,0.0,9.0203685742,3.29776915616
15,1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1054,404,349,0,0,0,218,166,38.330170778,33.1119544592,0.0,0.0,0.0,20.6831119545,15.7495256167
16,1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",2046,1515,55,0,0,0,476,0,74.0469208211,2.68817204301,0.0,0.0,0.0,23.2649071359,0.0
17,1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1072,471,418,10,0,0,157,32,43.9365671642,38.9925373134,0.932835820896,0.0,0.0,14.6455223881,2.98507462687
18,1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1784,1094,489,0,0,0,150,102,61.3228699552,27.4103139013,0.0,0.0,0.0,8.40807174888,5.71748878924
19,1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1307,1207,47,14,0,0,19,40,92.3488905891,3.59602142311,1.07115531752,0.0,0.0,1.45371078806,3.06044376435
20,1500000US130059701001,130059701001,"Block Group 1, Census Tract 9701, Bacon County, Georgia",1527,1312,65,0,0,0,150,0,85.9201047806,4.25671250819,0.0,0.0,0.0,9.8231827112,0.0
21,1500000US130059701002,130059701002,"Block Group 2, Census Tract 9701, Bacon County, Georgia",820,793,13,0,9,5,0,0,96.7073170732,1.58536585366,0.0,1.09756097561,0.609756097561,0.0,0.0
22,1500000US130059701003,130059701003,"Block Group 3, Census Tract 9701, Bacon County, Georgia",741,690,39,0,6,0,0,12,93.1174089069,5.26315789474,0.0,0.80971659919,0.0,0.0,1.61943319838
23,1500000US130059702011,130059702011,"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",1562,1448,49,0,0,0,30,70,92.7016645327,3.13700384123,0.0,0.0,0.0,1.92061459667,4.4814340589
24,1500000US130059702012,130059702012,"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",1161,846,9,0,0,0,306,0,72.8682170543,0.77519379845,0.0,0.0,0.0,26.3565891473,0.0
25,1500000US130059702013,130059702013,"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",1287,326,884,0,26,0,0,102,25.3302253302,68.6868686869,0.0,2.0202020202,0.0,0.0,7.92540792541
26,1500000US130059702021,130059702021,"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",2324,2087,237,0,0,0,0,0,89.8020654045,10.1979345955,0.0,0.0,0.0,0.0,0.0
27,1500000US130059702022,130059702022,"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",1251,876,297,0,0,27,0,102,70.0239808153,23.7410071942,0.0,0.0,2.15827338129,0.0,8.15347721823
28,1500000US130059702023,130059702023,"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",549,368,85,0,96,0,0,0,67.0309653916,15.4826958106,0.0,17.4863387978,0.0,0.0,0.0
29,1500000US130079601001,130079601001,"Block Group 1, Census Tract 9601, Baker County, Georgia",815,483,326,0,0,0,0,12,59.263803681,40.0,0.0,0.0,0.0,0.0,1.47239263804
30,1500000US130079601002,130079601002,"Block Group 2, Census Tract 9601, Baker County, Georgia",1394,425,923,0,19,0,27,0,30.487804878,66.212338594,0.0,1.36298421808,0.0,1.9368723099,0.0
31,1500000US130079602001,130079602001,"Block Group 1, Census Tract 9602, Baker County, Georgia",468,368,92,8,0,0,0,0,78.6324786325,19.6581196581,1.7094017094,0.0,0.0,0.0,0.0
