,ID,ID2,GEOGRAPHY,MEDIAN_YEAR_STRUCTURE_BUILT
0,1500000US130019501001,130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",1980
1,1500000US130019501002,130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",1991
2,1500000US130019502001,130019502001,"Block Group 1, Census Tract 9502, Appling County, Georgia",1989
3,1500000US130019502002,130019502002,"Block Group 2, Census Tract 9502, Appling County, Georgia",1975
4,1500000US130019502003,130019502003,"Block Group 3, Census Tract 9502, Appling County, Georgia",1980
5,1500000US130019503001,130019503001,"Block Group 1, Census Tract 9503, Appling County, Georgia",1975
6,1500000US130019503002,130019503002,"Block Group 2, Census Tract 9503, Appling County, Georgia",1983
7,1500000US130019503003,130019503003,"Block Group 3, Census Tract 9503, Appling County, Georgia",1971
8,1500000US130019503004,130019503004,"Block Group 4, Census Tract 9503, Appling County, Georgia",1982
9,1500000US130019504001,130019504001,"Block Group 1, Census Tract 9504, Appling County, Georgia",1981
10,1500000US130019504002,130019504002,"Block Group 2, Census Tract 9504, Appling County, Georgia",1988
11,1500000US130019505001,130019505001,"Block Group 1, Census Tract 9505, Appling County, Georgia",1988
12,1500000US130019505002,130019505002,"Block Group 2, Census Tract 9505, Appling County, Georgia",1990
13,1500000US130019505003,130019505003,"Block Group 3, Census Tract 9505, Appling County, Georgia",1994
14,1500000US130039601001,130039601001,"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1981
15,1500000US130039601002,130039601002,"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1979
16,1500000US130039602001,130039602001,"Block Group 1, Census Tract 9602, Atkinson County, Georgia",1978
17,1500000US130039602002,130039602002,"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1979
18,1500000US130039602003,130039602003,"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1977
19,1500000US130039603001,130039603001,"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1982
20,1500000US130059701001,130059701001,"Block Group 1, Census Tract 9701, Bacon County, Georgia",1985
21,1500000US130059701002,130059701002,"Block Group 2, Census Tract 9701, Bacon County, Georgia",1989
22,1500000US130059701003,130059701003,"Block Group 3, Census Tract 9701, Bacon County, Georgia",1986
23,1500000US130059702011,130059702011,"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",1979
24,1500000US130059702012,130059702012,"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",1976
25,1500000US130059702013,130059702013,"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",1964
26,1500000US130059702021,130059702021,"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",1986
27,1500000US130059702022,130059702022,"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",1982
28,1500000US130059702023,130059702023,"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",1961
29,1500000US130079601001,130079601001,"Block Group 1, Census Tract 9601, Baker County, Georgia",1982
30,1500000US130079601002,130079601002,"Block Group 2, Census Tract 9601, Baker County, Georgia",1988
31,1500000US130079602001,130079602001,"Block Group 1, Census Tract 9602, Baker County, Georgia",1970
32,1500000US130079602002,130079602002,"Block Group 2, Census Tract 9602, Baker County, Georgia",1982
33,1500000US130099701001,130099701001,"Block Group 1, Census Tract 9701, Baldwin County, Georgia",1992
34,1500000US130099701002,130099701002,"Block Group 2, Census Tract 9701, Baldwin County, Georgia",1981
35,1500000US130099701003,130099701003,"Block Group 3, Census Tract 9701, Baldwin County, Georgia",1998
36,1500000US130099702001,130099702001,"Block Group 1, Census Tract 9702, Baldwin County, Georgia",1985
37,1500000US130099702002,130099702002,"Block Group 2, Census Tract 9702, Baldwin County, Georgia",1994
38,1500000US130099702003,130099702003,"Block Group 3, Census Tract 9702, Baldwin County, Georgia",1991
39,1500000US130099702004,130099702004,"Block Group 4, Census Tract 9702, Baldwin County, Georgia",1991
40,1500000US130099702005,130099702005,"Block Group 5, Census Tract 9702, Baldwin County, Georgia",1968
41,1500000US130099703001,130099703001,"Block Group 1, Census Tract 9703, Baldwin County, Georgia",1992
42,1500000US130099703002,130099703002,"Block Group 2, Census Tract 9703, Baldwin County, Georgia",1989
43,1500000US130099704001,130099704001,"Block Group 1, Census Tract 9704, Baldwin County, Georgia",1976
44,1500000US130099704002,130099704002,"Block Group 2, Census Tract 9704, Baldwin County, Georgia",1971
45,1500000US130099704003,130099704003,"Block Group 3, Census Tract 9704, Baldwin County, Georgia",1966
46,1500000US130099704004,130099704004,"Block Group 4, Census Tract 9704, Baldwin County, Georgia",1955
47,1500000US130099704005,130099704005,"Block Group 5, Census Tract 9704, Baldwin County, Georgia",1979
48,1500000US130099705001,130099705001,"Block Group 1, Census Tract 9705, Baldwin County, Georgia",2002
49,1500000US130099705002,130099705002,"Block Group 2, Census Tract 9705, Baldwin County, Georgia",1947
50,1500000US130099705003,130099705003,"Block Group 3, Census Tract 9705, Baldwin County, Georgia",1993
51,1500000US130099706001,130099706001,"Block Group 1, Census Tract 9706, Baldwin County, Georgia",1982
52,1500000US130099706002,130099706002,"Block Group 2, Census Tract 9706, Baldwin County, Georgia",1974
53,1500000US130099706003,130099706003,"Block Group 3, Census Tract 9706, Baldwin County, Georgia",1967
54,1500000US130099706004,130099706004,"Block Group 4, Census Tract 9706, Baldwin County, Georgia",1980
55,1500000US130099707011,130099707011,"Block Group 1, Census Tract 9707.01, Baldwin County, Georgia",1950
56,1500000US130099707012,130099707012,"Block Group 2, Census Tract 9707.01, Baldwin County, Georgia",1964
57,1500000US130099707013,130099707013,"Block Group 3, Census Tract 9707.01, Baldwin County, Georgia",1981
58,1500000US130099707021,130099707021,"Block Group 1, Census Tract 9707.02, Baldwin County, Georgia",1964
59,1500000US130099707022,130099707022,"Block Group 2, Census Tract 9707.02, Baldwin County, Georgia",1971
